General : Start date,"11/4/2020 1:42 PM"
General : End date,"11/4/2020 1:49 PM"
Test : Rate 1,"2.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"24.70000","0.82268","25.09339"
"24.80000","0.82671","25.03464"
"24.90000","0.82993","24.62964"
"25.00000","0.83316","25.45922"
"25.10000","0.83709","25.08947"
"25.20000","0.84001","25.52815"
"25.30000","0.84304","25.82348"
"25.40000","0.84707","25.33074"
"25.50000","0.85009","25.67229"
"25.60000","0.85322","25.94725"
"25.70000","0.85705","26.63660"
"25.80000","0.86007","26.03655"
"25.90000","0.86330","26.97422"
"26.00000","0.86713","27.10505"
"26.10000","0.87005","26.71102"
"26.20000","0.87318","26.33814"
"26.30000","0.87670","26.21672"
"26.40000","0.87973","26.59587"
"26.50000","0.88305","26.38044"
"26.60000","0.88658","26.54573"
"26.70000","0.88981","27.08703"
"26.80000","0.89333","26.67263"
"26.90000","0.89696","26.93897"
"27.00000","0.89989","26.67733"
"27.10000","0.90362","26.91861"
"27.20000","0.90714","28.07641"
"27.30000","0.90997","27.69961"
"27.40000","0.91339","28.32003"
"27.50000","0.91692","28.43518"
"27.60000","0.91994","28.30828"
"27.70000","0.92337","28.25893"
"27.80000","0.92670","28.76028"
"27.90000","0.92962","27.52022"
"28.00000","0.93335","28.51039"
"28.10000","0.93678","28.58637"
"28.20000","0.93970","28.53076"
"28.30000","0.94333","28.04194"
"28.40000","0.94686","28.84801"
"28.50000","0.94988","29.16214"
"28.60000","0.95341","28.86211"
"28.70000","0.95683","29.10887"
"28.80000","0.95986","30.16014"
"28.90000","0.96339","29.18877"
"29.00000","0.96701","29.96900"
"29.10000","0.97014","29.42848"
"29.20000","0.97377","29.79744"
"29.30000","0.97709","30.53693"
"29.40000","0.97992","30.26197"
"29.50000","0.98354","29.88753"
"29.60000","0.98697","30.43196"
"29.70000","0.98969","30.13977"
"29.80000","0.99342","29.72381"
"29.90000","0.99675","30.08728"
"30.00000","0.99947","30.29095"
"30.10000","1.00330","31.09625"
"30.20000","1.00683","31.73468"
"30.30000","1.00975","30.24709"
"30.40000","1.01368","31.20435"
"30.50000","1.01711","31.24352"
"30.60000","1.02003","31.52474"
"30.70000","1.02406","32.47809"
"30.80000","1.02689","31.92034"
"30.90000","1.02981","32.17101"
"31.00000","1.03394","32.68411"
"31.10000","1.03697","32.54702"
"31.20000","1.03969","32.27050"
