General : Start date,"11/2/2020 3:34 PM"
General : End date,"11/2/2020 3:35 PM"
Specimen notes : Specimen note 1,""
Test : Rate 1,"2.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"48.60000","1.62026","3218.70972"
"48.70000","1.62308","3221.41455"
"48.80000","1.62661","3228.39209"
"48.90000","1.62963","3231.59741"
"49.00000","1.63296","3236.94385"
"49.10000","1.63669","3243.99390"
"49.20000","1.63951","3248.43628"
"49.30000","1.64304","3253.11157"
"49.40000","1.64697","3262.71533"
"49.50000","1.64979","3265.48340"
"49.60000","1.65342","3270.43018"
"49.70000","1.65685","3278.53442"
"49.80000","1.65967","3280.83154"
"49.90000","1.66330","3286.19189"
"50.00000","1.66682","3293.40991"
"50.10000","1.66975","3297.50220"
"50.20000","1.67358","3303.29639"
"50.30000","1.67690","3309.94946"
"50.40000","1.67973","3312.47681"
"50.50000","1.68335","3318.01172"
"50.60000","1.68678","3325.48730"
"50.70000","1.68960","3328.95557"
"50.80000","1.69313","3333.59912"
"50.90000","1.69666","3341.17261"
"51.00000","1.69958","3344.29663"
"51.10000","1.70331","3350.89258"
"51.20000","1.70694","3357.57056"
"51.30000","1.71006","3362.33350"
"51.40000","1.71359","3368.14966"
"51.50000","1.71682","3374.07666"
"51.60000","1.71994","3378.56299"
"51.70000","1.72337","3383.37598"
"51.80000","1.72680","3389.98218"
"51.90000","1.73012","3395.14575"
"52.00000","1.73345","3400.26904"
"52.10000","1.73667","3404.66357"
"52.20000","1.74000","3410.08594"
"52.30000","1.74343","3416.44214"
"52.40000","1.74645","3420.64941"
"52.50000","1.74968","3426.68848"
"52.60000","1.75351","3433.50439"
"52.70000","1.75673","3439.86157"
"52.80000","1.75955","3443.10205"
"52.90000","1.76338","3448.47729"
"53.00000","1.76701","3456.55713"
"53.10000","1.77004","3460.36963"
"53.20000","1.77387","3465.84204"
"53.30000","1.77689","3471.51465"
"53.40000","1.77981","3475.02710"
"53.50000","1.78344","3481.04395"
"53.60000","1.78667","3487.36865"
"53.70000","1.78969","3490.76953"
"53.80000","1.79342","3497.48926"
"53.90000","1.79665","3503.86938"
"54.00000","1.79957","3506.35645"
"54.10000","1.80340","3513.07471"
"54.20000","1.80673","3519.96826"
"54.30000","1.80965","3523.50659"
"54.40000","1.81348","3529.90894"
"54.50000","1.81660","3535.38330"
"54.60000","1.81983","3539.76758"
"54.70000","1.82376","3547.69336"
"54.80000","1.82658","3552.07031"
"54.90000","1.82991","3556.18384"
"55.00000","1.83374","3564.28809"
"55.10000","1.83656","3568.47119"
"55.20000","1.83969","3572.34961"
"55.30000","1.84372","3580.16455"
"55.40000","1.84654","3584.79321"
"55.50000","1.84987","3588.73047"
"55.60000","1.85360","3597.01074"
"55.70000","1.85632","3600.08936"
"55.80000","1.85964","3603.57275"
"55.90000","1.86357","3612.28857"
"56.00000","1.86650","3616.20605"
"56.10000","1.86972","3620.42749"
"56.20000","1.87335","3628.49683"
"56.30000","1.87637","3632.04785"
"56.40000","1.87990","3638.00610"
"56.50000","1.88343","3644.55542"
"56.60000","1.88666","3649.26489"
"56.70000","1.89038","3656.19067"
"56.80000","1.89361","3662.54517"
"56.90000","1.89633","3663.86206"
"57.00000","1.90016","3670.32251"
"57.10000","1.90359","3677.52393"
"57.20000","1.90641","3680.46753"
"57.30000","1.90994","3686.39795"
"57.40000","1.91326","3692.95508"
"57.50000","1.91609","3695.42578"
"57.60000","1.91972","3702.33130"
"57.70000","1.92324","3709.30542"
"57.80000","1.92637","3713.34595"
"57.90000","1.93000","3720.04590"
"58.00000","1.93332","3726.59180"
"58.10000","1.93645","3731.01538"
"58.20000","1.94018","3737.31592"
"58.30000","1.94360","3745.50195"
"58.40000","1.94663","3749.07178"
"58.50000","1.95016","3753.74731"
"58.60000","1.95358","3760.57520"
"58.70000","1.95671","3765.70142"
"58.80000","1.96013","3770.79102"
"58.90000","1.96326","3775.63452"
"59.00000","1.96648","3781.30664"
"59.10000","1.96971","3785.79712"
"59.20000","1.97324","3792.93115"
"59.30000","1.97636","3796.43823"
"59.40000","1.97989","3803.87231"
"59.50000","1.98342","3810.53247"
"59.60000","1.98644","3814.47046"
"59.70000","1.98997","3820.40332"
"59.80000","1.99350","3827.63379"
"59.90000","1.99652","3832.04248"
"60.00000","2.00015","3838.46753"
"60.10000","2.00337","3843.18579"
"60.20000","2.00650","3848.27295"
"60.30000","2.01023","3855.33569"
"60.40000","2.01335","3860.22583"
"60.50000","2.01638","3863.84570"
"60.60000","2.02041","3870.95581"
"60.70000","2.02353","3877.18335"
"60.80000","2.02636","3879.42236"
"60.90000","2.02998","3885.38501"
"61.00000","2.03301","3890.49268"
"61.10000","2.03613","3894.89355"
"61.20000","2.04026","3902.38867"
"61.30000","2.04329","3909.15210"
"61.40000","2.04621","3911.62524"
"61.50000","2.05044","3921.21411"
"61.60000","2.05337","3925.29712"
"61.70000","2.05629","3927.86743"
"61.80000","2.06042","3936.56274"
"61.90000","2.06355","3943.58008"
"62.00000","2.06657","3946.20972"
"62.10000","2.07030","3952.97217"
"62.20000","2.07332","3958.56006"
"62.30000","2.07655","3962.55664"
"62.40000","2.08018","3970.36963"
"62.50000","2.08310","3973.28320"
"62.60000","2.08613","3977.33789"
"62.70000","2.08996","3985.86768"
"62.80000","2.09308","3990.58691"
"62.90000","2.09641","3995.80444"
"63.00000","2.10004","4003.22144"
"63.10000","2.10316","4007.62695"
"63.20000","2.10679","4013.34644"
"63.30000","2.11022","4020.71484"
"63.40000","2.11314","4023.29199"
"63.50000","2.11687","4030.25757"
"63.60000","2.12009","4037.29834"
"63.70000","2.12281","4039.32178"
"63.80000","2.12675","4045.68237"
"63.90000","2.13027","4055.27246"
"64.00000","2.13310","4057.23706"
"64.10000","2.13672","4063.06470"
"64.20000","2.13995","4069.82935"
"64.30000","2.14277","4073.50732"
"64.40000","2.14640","4078.88037"
"64.50000","2.14993","4087.29053"
"64.60000","2.15295","4091.17529"
"64.70000","2.15688","4098.59473"
"64.80000","2.16031","4105.86377"
"64.90000","2.16323","4109.38037"
"65.00000","2.16676","4114.57471"
"65.10000","2.17029","4121.63428"
"65.20000","2.17341","4127.02783"
"65.30000","2.17674","4131.74463"
"65.40000","2.18007","4137.56836"
"65.50000","2.18329","4143.30078"
"65.60000","2.18672","4147.87744"
"65.70000","2.18994","4153.64307"
"65.80000","2.19327","4158.96436"
"65.90000","2.19670","4164.18896"
"66.00000","2.19992","4169.88623"
"66.10000","2.20305","4174.63867"
"66.20000","2.20657","4180.07910"
"66.30000","2.20990","4186.40723"
"66.40000","2.21292","4190.73584"
"66.50000","2.21675","4197.64258"
"66.60000","2.22018","4204.36230"
"66.70000","2.22321","4208.63623"
"66.80000","2.22704","4216.32715"
"66.90000","2.23016","4221.18994"
"67.00000","2.23318","4224.75781"
"67.10000","2.23701","4232.71924"
"67.20000","2.24014","4238.65820"
"67.30000","2.24306","4241.83105"
"67.40000","2.24689","4249.00732"
"67.50000","2.25002","4255.55078"
"67.60000","2.25284","4258.54346"
"67.70000","2.25657","4264.87744"
"67.80000","2.25999","4271.31348"
"67.90000","2.26292","4275.04932"
"68.00000","2.26665","4281.42822"
"68.10000","2.26997","4288.56836"
"68.20000","2.27310","4293.04053"
"68.30000","2.27703","4300.13232"
"68.40000","2.28015","4306.87305"
"68.50000","2.28318","4310.03174"
"68.60000","2.28701","4317.17432"
"68.70000","2.29033","4323.03564"
"68.80000","2.29346","4327.88721"
"68.90000","2.29689","4333.87402"
"69.00000","2.29961","4337.29053"
"69.10000","2.30293","4342.12012"
"69.20000","2.30686","4349.83057"
"69.30000","2.30969","4354.80225"
"69.40000","2.31301","4358.91455"
"69.50000","2.31684","4366.23340"
"69.60000","2.31966","4371.02490"
"69.70000","2.32299","4376.12646"
"69.80000","2.32702","4385.62158"
"69.90000","2.32995","4389.47803"
"70.00000","2.33317","4392.91016"
"70.10000","2.33700","4401.19189"
"70.20000","2.33992","4405.46729"
"70.30000","2.34335","4409.90381"
"70.40000","2.34698","4418.37891"
"70.50000","2.34980","4421.38574"
"70.60000","2.35343","4426.49365"
"70.70000","2.35696","4435.54199"
"70.80000","2.35968","4438.84668"
"70.90000","2.36321","4444.66553"
"71.00000","2.36674","4451.42578"
"71.10000","2.36966","4455.89111"
"71.20000","2.37319","4461.09717"
"71.30000","2.37671","4467.85303"
"71.40000","2.37984","4473.77539"
"71.50000","2.38347","4479.78809"
"71.60000","2.38679","4486.63330"
"71.70000","2.38992","4490.60156"
"71.80000","2.39345","4497.06006"
"71.90000","2.39677","4503.43213"
"72.00000","2.39990","4508.03125"
"72.10000","2.40342","4513.54199"
"72.20000","2.40675","4520.28418"
"72.30000","2.40998","4524.74170"
"72.40000","2.41350","4532.07031"
"72.50000","2.41673","4537.69727"
"72.60000","2.41975","4542.39453"
"72.70000","2.42318","4546.78174"
"72.80000","2.42661","4554.26074"
"72.90000","2.42963","4558.20459"
"73.00000","2.43296","4562.38037"
"73.10000","2.43659","4570.09326"
"73.20000","2.43981","4576.50049"
"73.30000","2.44344","4582.25146"
"73.40000","2.44697","4589.70947"
"73.50000","2.44999","4593.27344"
"73.60000","2.45342","4599.43018"
"73.70000","2.45674","4605.48633"
"73.80000","2.45997","4609.87988"
"73.90000","2.46370","4617.94531"
"74.00000","2.46682","4623.00732"
"74.10000","2.46975","4626.48730"
"74.20000","2.47348","4633.07422"
"74.30000","2.47660","4638.94141"
"74.40000","2.47962","4642.24316"
"74.50000","2.48345","4650.46582"
"74.60000","2.48648","4655.71582"
"74.70000","2.48950","4660.28955"
"74.80000","2.49343","4667.65088"
"74.90000","2.49656","4673.79736"
"75.00000","2.49968","4677.21387"
"75.10000","2.50381","4686.14697"
"75.20000","2.50684","4691.36230"
"75.30000","2.50976","4695.09814"
"75.40000","2.51379","4702.75000"
"75.50000","2.51672","4707.89600"
"75.60000","2.51964","4711.14941"
"75.70000","2.52367","4719.29688"
"75.80000","2.52659","4724.36865"
"75.90000","2.52962","4728.26758"
"76.00000","2.53335","4735.65332"
"76.10000","2.53657","4741.19775"
"76.20000","2.53980","4746.54980"
"76.30000","2.54343","4754.13770"
"76.40000","2.54645","4758.99121"
"76.50000","2.54978","4764.25000"
