General : Start date,"11/4/2020 2:14 PM"
General : End date,"11/4/2020 2:34 PM"
Test : Rate 1,"2.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"61.30000","2.04359","16.42702"
"61.40000","2.04682","16.87510"
"61.50000","2.04984","15.84656"
"61.60000","2.05337","16.06355"
"61.70000","2.05680","16.23823"
"61.80000","2.05992","16.03378"
"61.90000","2.06365","16.49282"
"62.00000","2.06687","16.31344"
"62.10000","2.06990","16.65576"
"62.20000","2.07383","16.80695"
"62.30000","2.07695","17.02394"
"62.40000","2.07998","17.09679"
"62.50000","2.08381","16.82732"
"62.60000","2.08683","16.66281"
"62.70000","2.08986","16.25703"
"62.80000","2.09359","16.59310"
"62.90000","2.09651","16.94404"
"63.00000","2.09973","16.73410"
"63.10000","2.10377","17.29811"
"63.20000","2.10679","17.50649"
"63.30000","2.10991","17.24328"
"63.40000","2.11374","17.42893"
"63.50000","2.11687","17.18296"
"63.60000","2.11989","18.36975"
"63.70000","2.12352","17.24250"
"63.80000","2.12675","17.22291"
"63.90000","2.12997","16.66360"
"64.00000","2.13370","16.70746"
"64.10000","2.13703","16.53983"
"64.20000","2.14035","17.41640"
"64.30000","2.14408","17.30046"
"64.40000","2.14690","17.03804"
"64.50000","2.15003","17.62791"
"64.60000","2.15386","17.69136"
"64.70000","2.15658","18.05562"
"64.80000","2.15971","17.70938"
"64.90000","2.16364","17.94282"
"65.00000","2.16656","17.67021"
"65.10000","2.16979","17.30125"
"65.20000","2.17362","17.50492"
"65.30000","2.17664","17.68431"
"65.40000","2.17997","17.94360"
"65.50000","2.18380","18.00862"
"65.60000","2.18662","17.43050"
"65.70000","2.19025","17.41953"
"65.80000","2.19408","17.96475"
"65.90000","2.19670","18.78493"
"66.00000","2.20033","17.53547"
"66.10000","2.20405","17.82140"
"66.20000","2.20657","18.50292"
"66.30000","2.21020","18.33528"
"66.40000","2.21353","17.57934"
"66.50000","2.21605","17.89738"
"66.60000","2.21968","17.51275"
"66.70000","2.22351","17.93028"
"66.80000","2.22643","17.71643"
"66.90000","2.23016","17.25581"
"67.00000","2.23389","18.00079"
"67.10000","2.23681","18.53033"
"67.20000","2.24054","17.87780"
"67.30000","2.24387","18.65489"
"67.40000","2.24659","17.92872"
"67.50000","2.25042","18.16685"
"67.60000","2.25375","18.00079"
"67.70000","2.25637","18.32901"
"67.80000","2.26040","17.57934"
"67.90000","2.26383","18.24519"
"68.00000","2.26655","18.23031"
"68.10000","2.27028","18.24676"
"68.20000","2.27340","18.17704"
"68.30000","2.27632","18.35486"
"68.40000","2.28005","18.31648"
"68.50000","2.28348","18.24206"
"68.60000","2.28660","19.16877"
"68.70000","2.29043","18.86091"
"68.80000","2.29346","18.54679"
"68.90000","2.29658","18.47472"
"69.00000","2.30062","17.51510"
"69.10000","2.30374","19.06693"
"69.20000","2.30666","18.35878"
"69.30000","2.31029","18.69171"
"69.40000","2.31342","18.87188"
"69.50000","2.31654","19.23927"
"69.60000","2.32027","19.67638"
"69.70000","2.32329","18.86561"
"69.80000","2.32672","18.66820"
"69.90000","2.33035","19.16563"
"70.00000","2.33337","18.60710"
"70.10000","2.33650","18.64470"
"70.20000","2.34033","18.81234"
"70.30000","2.34345","19.12960"
"70.40000","2.34648","19.01836"
"70.50000","2.35031","19.24632"
"70.60000","2.35353","19.61371"
"70.70000","2.35666","19.66228"
"70.80000","2.36039","18.89381"
"70.90000","2.36361","19.15232"
"71.00000","2.36664","19.00818"
"71.10000","2.37067","19.79624"
"71.20000","2.37359","18.99957"
"71.30000","2.37651","19.31682"
"71.40000","2.38054","19.42336"
"71.50000","2.38357","18.85386"
"71.60000","2.38649","19.47114"
"71.70000","2.39022","20.12055"
"71.80000","2.39314","19.64113"
"71.90000","2.39627","19.77900"
"72.00000","2.40020","19.08809"
"72.10000","2.40332","18.86953"
"72.20000","2.40665","19.22047"
"72.30000","2.41058","19.68344"
"72.40000","2.41350","19.05832"
"72.50000","2.41713","19.78762"
"72.60000","2.42066","20.40647"
"72.70000","2.42328","20.02733"
"72.80000","2.42681","19.97641"
"72.90000","2.43054","19.61137"
"73.00000","2.43306","20.09626"
"73.10000","2.43669","19.30664"
"73.20000","2.44032","19.77274"
"73.30000","2.44263","19.03090"
"73.40000","2.44626","19.38341"
"73.50000","2.45029","20.13857"
"73.60000","2.45291","19.71477"
"73.70000","2.45674","19.46018"
"73.80000","2.46068","19.86831"
"73.90000","2.46330","19.44529"
"74.00000","2.46692","20.24667"
"74.10000","2.47045","20.23335"
"74.20000","2.47327","20.04300"
"74.30000","2.47690","18.64940"
"74.40000","2.48023","19.40769"
"74.50000","2.48305","19.60980"
"74.60000","2.48688","19.30742"
"74.70000","2.49031","19.97798"
"74.80000","2.49323","20.05788"
"74.90000","2.49696","20.45112"
"75.00000","2.50009","20.51693"
"75.10000","2.50321","19.72965"
"75.20000","2.50694","20.35242"
"75.30000","2.51006","19.36696"
"75.40000","2.51339","20.37827"
"75.50000","2.51722","21.06057"
"75.60000","2.52035","20.77308"
"75.70000","2.52327","20.26860"
"75.80000","2.52710","20.24667"
"75.90000","2.53032","20.20906"
"76.00000","2.53345","20.70101"
"76.10000","2.53728","19.57768"
"76.20000","2.54040","20.32344"
"76.30000","2.54323","20.07668"
"76.40000","2.54695","20.15266"
"76.50000","2.55018","20.74096"
"76.60000","2.55310","21.01906"
"76.70000","2.55673","20.01950"
"76.80000","2.56006","20.74645"
"76.90000","2.56298","20.61641"
"77.00000","2.56681","19.96623"
"77.10000","2.57034","19.55653"
"77.20000","2.57326","20.56314"
"77.30000","2.57679","19.61841"
"77.40000","2.58022","20.22004"
"77.50000","2.58304","20.27095"
"77.60000","2.58677","20.42684"
"77.70000","2.59030","21.25563"
"77.80000","2.59362","20.90860"
"77.90000","2.59755","20.83497"
"78.00000","2.60027","20.86004"
"78.10000","2.60310","20.39394"
"78.20000","2.60713","20.42605"
"78.30000","2.61005","20.68221"
"78.40000","2.61287","20.90782"
"78.50000","2.61680","21.58229"
"78.60000","2.61983","20.12682"
"78.70000","2.62285","20.38062"
"78.80000","2.62699","20.96265"
"78.90000","2.63011","21.35355"
"79.00000","2.63344","19.95918"
"79.10000","2.63727","20.94934"
"79.20000","2.64019","21.21020"
"79.30000","2.64362","20.72217"
"79.40000","2.64724","21.87605"
"79.50000","2.65007","21.64026"
"79.60000","2.65380","21.53215"
"79.70000","2.65732","21.77108"
"79.80000","2.65984","21.50395"
"79.90000","2.66347","21.11228"
"80.00000","2.66700","20.99242"
"80.10000","2.66942","20.83653"
"80.20000","2.67305","21.37470"
"80.30000","2.67698","22.01157"
"80.40000","2.67980","21.72173"
"80.50000","2.68363","22.06875"
"80.60000","2.68736","22.54269"
"80.70000","2.68988","22.49098"
